"","Id","source","SalePrice","EnclosedPorch","ExterCond","ExterQual","Exterior1st","Exterior2nd","Fence","FireplaceQu","Fireplaces","Foundation","FullBath","Functional","GarageArea","GarageCars","GarageCond","GarageFinish","GarageQual","GarageType","GarageYrBlt","GrLivArea","HalfBath"
"1",1,"train",208500,0,3,4,"VinylSd","VinylSd",0,0,0,"PConc",2,7,548,2,3,2,3,"Attchd",2003,1710,1
"2",2,"train",181500,0,3,3,"MetalSd","MetalSd",0,3,1,"CBlock",2,7,460,2,3,2,3,"Attchd",1976,1262,0
"3",3,"train",223500,0,3,4,"VinylSd","VinylSd",0,3,1,"PConc",2,7,608,2,3,2,3,"Attchd",2001,1786,1
"4",4,"train",140000,272,3,3,"Wd Sdng","Wd Shng",0,4,1,"BrkTil",1,7,642,3,3,1,3,"Detchd",1998,1717,0
"5",5,"train",250000,0,3,4,"VinylSd","VinylSd",0,3,1,"PConc",2,7,836,3,3,2,3,"Attchd",2000,2198,1
"6",6,"train",143000,0,3,3,"VinylSd","VinylSd",3,0,0,"Wood",1,7,480,2,3,1,3,"Attchd",1993,1362,1
"7",7,"train",307000,0,3,4,"VinylSd","VinylSd",0,4,1,"PConc",2,7,636,2,3,2,3,"Attchd",2004,1694,0
"8",8,"train",2e+05,228,3,3,"HdBoard","HdBoard",0,3,2,"CBlock",2,7,484,2,3,2,3,"Attchd",1973,2090,1
"9",9,"train",129900,205,3,3,"BrkFace","Wd Shng",0,3,2,"BrkTil",2,6,468,2,3,1,2,"Detchd",1931,1774,0
"10",10,"train",118000,0,3,3,"MetalSd","MetalSd",0,3,2,"BrkTil",1,7,205,1,3,2,4,"Attchd",1939,1077,0
"11",11,"train",129500,0,3,3,"HdBoard","HdBoard",0,0,0,"CBlock",1,7,384,1,3,1,3,"Detchd",1965,1040,0
"12",12,"train",345000,0,3,5,"WdShing","Wd Shng",0,4,2,"PConc",3,7,736,3,3,3,3,"BuiltIn",2005,2324,0
"13",13,"train",144000,0,3,3,"HdBoard","Plywood",0,0,0,"CBlock",1,7,352,1,3,1,3,"Detchd",1962,912,0
"14",14,"train",279500,0,3,4,"VinylSd","VinylSd",0,4,1,"PConc",2,7,840,3,3,2,3,"Attchd",2006,1494,0
"15",15,"train",157000,176,3,3,"MetalSd","MetalSd",2,2,1,"CBlock",1,7,352,1,3,2,3,"Attchd",1960,1253,1
"16",16,"train",132000,0,3,3,"Wd Sdng","Wd Sdng",4,0,0,"BrkTil",1,7,576,2,3,1,3,"Detchd",1991,854,0
"17",17,"train",149000,0,3,3,"Wd Sdng","Wd Sdng",0,3,1,"CBlock",1,7,480,2,3,3,3,"Attchd",1970,1004,0
"18",18,"train",90000,0,3,3,"MetalSd","MetalSd",0,0,0,"Slab",2,7,516,2,3,1,3,"CarPort",1967,1296,0
"19",19,"train",159000,0,3,3,"VinylSd","VinylSd",0,0,0,"PConc",1,7,576,2,3,1,3,"Detchd",2004,1114,1
"20",20,"train",139000,0,3,3,"BrkFace","Plywood",3,0,0,"CBlock",1,6,294,1,3,1,3,"Attchd",1958,1339,0
"21",21,"train",325300,0,3,4,"VinylSd","VinylSd",0,4,1,"PConc",3,7,853,3,3,2,3,"BuiltIn",2005,2376,1
"22",22,"train",139400,205,3,3,"Wd Sdng","Wd Sdng",4,4,1,"PConc",1,7,280,1,3,1,3,"Attchd",1930,1108,0
"23",23,"train",230000,0,3,4,"VinylSd","VinylSd",0,4,1,"PConc",2,7,534,2,3,2,3,"Attchd",2002,1795,0
"24",24,"train",129900,0,3,3,"CemntBd","CmentBd",0,3,1,"PConc",1,7,572,2,3,1,3,"Attchd",1976,1060,0
"25",25,"train",154000,0,4,3,"Plywood","Plywood",3,3,1,"CBlock",1,7,270,1,3,1,3,"Attchd",1968,1060,0
"26",26,"train",256300,0,3,4,"VinylSd","VinylSd",0,4,1,"PConc",2,7,890,3,3,2,3,"Attchd",2007,1600,0
"27",27,"train",134800,0,3,3,"Wd Sdng","Wd Sdng",0,0,0,"CBlock",1,7,576,2,3,1,3,"Detchd",2005,900,0
"28",28,"train",306000,0,3,4,"VinylSd","VinylSd",0,4,1,"PConc",2,7,772,3,3,2,3,"Attchd",2008,1704,0
