"","Id","source","SalePrice","ExterCond","ExterQual","Exterior1st","Exterior2nd","Fence","FireplaceQu","Fireplaces","Foundation","Functional","GarageArea","GarageFinish","GarageQual","GarageType","GarageYrBlt","GrLivArea","Bath"
"1",1,"train",208500,3,4,"VinylSd","VinylSd",0,0,0,"PConc",7,0.348828493800764,2,3,"Attchd",2003,0.413476373095174,2.5
"2",2,"train",181500,3,3,"MetalSd","MetalSd",0,3,1,"CBlock",7,-0.0597935345259258,2,3,"Attchd",1976,-0.471809813588296,2
"3",3,"train",223500,3,4,"VinylSd","VinylSd",0,3,1,"PConc",7,0.627434422205325,2,3,"Attchd",2001,0.563658851193263,2.5
"4",4,"train",140000,3,3,"Wd Sdng","Wd Shng",0,4,1,"BrkTil",7,0.78531111496791,1,3,"Detchd",1998,0.427308969762103,1
"5",5,"train",250000,3,4,"VinylSd","VinylSd",0,3,1,"PConc",7,1.68613695014266,2,3,"Attchd",2000,1.37780596930395,2.5
"6",6,"train",143000,3,3,"VinylSd","VinylSd",3,0,0,"Wood",7,0.0330751082755945,1,3,"Attchd",1993,-0.274201289775021,1.5
"7",7,"train",307000,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,0.757450522127453,2,3,"Attchd",2004,0.38185900928505,2
"8",8,"train",2e+05,3,3,"HdBoard","HdBoard",0,3,2,"CBlock",7,0.0516488368358986,2,3,"Attchd",1973,1.16438876358562,2.5
"9",9,"train",129900,3,3,"BrkFace","Wd Shng",0,3,2,"BrkTil",6,-0.0226460774053177,1,2,"Detchd",1931,0.53994582833567,2
"10",10,"train",118000,3,3,"MetalSd","MetalSd",0,3,2,"BrkTil",7,-1.24386873024531,2,4,"Attchd",1939,-0.837385582642853,1
"11",11,"train",129500,3,3,"HdBoard","HdBoard",0,0,0,"CBlock",7,-0.412694377171703,1,3,"Detchd",1965,-0.910500736453765,1
"12",12,"train",345000,3,5,"WdShing","Wd Shng",0,4,2,"PConc",7,1.22179373613506,3,3,"BuiltIn",2005,1.62679270930868,3
"13",13,"train",144000,3,3,"HdBoard","Plywood",0,0,0,"CBlock",7,-0.561284205654136,1,3,"Detchd",1962,-1.16343964693476,1
"14",14,"train",279500,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,1.70471067870296,2,3,"Attchd",2006,-0.0133580383414988,2
"15",15,"train",157000,3,3,"MetalSd","MetalSd",2,2,1,"CBlock",7,-0.561284205654136,2,3,"Attchd",1960,-0.48959458073149,1.5
"16",16,"train",132000,3,3,"Wd Sdng","Wd Sdng",4,0,0,"BrkTil",7,0.478844593722892,1,3,"Detchd",1991,-1.27805259074646,1
"17",17,"train",149000,3,3,"Wd Sdng","Wd Sdng",0,3,1,"CBlock",7,0.0330751082755945,3,3,"Attchd",1970,-0.981639805026544,1
"18",18,"train",90000,3,3,"MetalSd","MetalSd",0,0,0,"Slab",7,0.200238665318331,1,3,"CarPort",1967,-0.404622915491782,2
"19",19,"train",159000,3,3,"VinylSd","VinylSd",0,0,0,"PConc",7,0.478844593722892,1,3,"Detchd",2004,-0.764270428831942,1.5
"20",20,"train",139000,3,3,"BrkFace","Plywood",3,0,0,"CBlock",6,-0.830603269778545,1,3,"Attchd",1958,-0.319651250252074,1
"21",21,"train",325300,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,1.76507529652395,2,3,"BuiltIn",2005,1.72954914169158,3.5
"22",22,"train",139400,3,3,"Wd Sdng","Wd Sdng",4,4,1,"PConc",7,-0.895611319739609,1,3,"Attchd",1930,-0.776126940260738,1
"23",23,"train",230000,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,0.2838204438397,2,3,"Attchd",2002,0.581443618336457,2
"24",24,"train",129900,3,3,"CemntBd","CmentBd",0,3,1,"PConc",7,0.460270865162588,1,3,"Attchd",1976,-0.87097903169111,1
"25",25,"train",154000,4,3,"Plywood","Plywood",3,3,1,"CBlock",7,-0.942045641140369,1,3,"Attchd",1968,-0.87097903169111,1
"26",26,"train",256300,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,1.93688228570676,2,3,"Attchd",2007,0.196106996900572,2
"27",27,"train",134800,3,3,"Wd Sdng","Wd Sdng",0,0,0,"CBlock",7,0.478844593722892,1,3,"Detchd",2005,-1.18715266979235,1
"28",28,"train",306000,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,1.38895729317779,2,3,"Attchd",2008,0.401619861666378,2
