Id,source,SalePrice,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,Functional,GarageArea,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,Bath,Unnamed: 0,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
1,train,208500.0,GasA,4,2Story,1,2,Lvl,Gtl,-0.103660542,Inside,-0.048936931,Reg,0,60,RL,196,BrkFace,none,0,2,CollgCr,3,4,VinylSd,VinylSd,0,0,0,PConc,7,0.348828494,2,3,Attchd,2003,0.413476373,2.5,1,856,854,0,,3,1Fam,TA,No,706.0,0.0,GLQ,Unf,1,0,Gd,150.0,Y,Norm,Norm,SBrkr,0.817255470982,5,7,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,8,-0.16974044509,AllPub,-0.929191516623,2003,2003,2008
2,train,181500.0,GasA,4,1Story,1,1,Lvl,Gtl,0.146545835,FR2,0.569696316,Reg,0,20,RL,0,None,none,0,5,Veenker,3,3,MetalSd,MetalSd,0,3,1,CBlock,7,-0.059793535,2,3,Attchd,1976,-0.471809814,2.0,2,1262,0,0,,3,1Fam,TA,Gd,978.0,0.0,ALQ,Unf,0,1,Gd,284.0,Y,Feedr,Norm,SBrkr,-1.07568666246,8,6,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,0.480761850746,AllPub,1.36042310739,1976,1976,2007
3,train,223500.0,GasA,4,2Story,1,2,Lvl,Gtl,0.457557039,Inside,0.085493269,IR1,0,60,RL,162,BrkFace,none,0,9,CollgCr,3,4,VinylSd,VinylSd,0,3,1,PConc,7,0.627434422,2,3,Attchd,2001,0.563658851,2.5,3,920,866,0,,3,1Fam,TA,Mn,486.0,0.0,GLQ,Unf,1,0,Gd,434.0,Y,Norm,Norm,SBrkr,0.633193407753,5,7,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,-0.0545833150781,AllPub,-0.929191516623,2001,2002,2008
4,train,140000.0,GasA,3,2Story,1,2,Lvl,Gtl,0.136306039,Corner,-0.287413293,IR1,0,70,RL,0,None,none,0,2,Crawfor,3,3,Wd Sdng,Wd Shng,0,4,1,BrkTil,7,0.785311115,1,3,Detchd,1998,0.42730897,1.0,4,961,756,0,,3,1Fam,Gd,No,216.0,0.0,ALQ,Unf,1,0,TA,540.0,Y,Norm,Norm,SBrkr,0.545028498069,5,7,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,7,-0.362382063719,AllPub,-0.929191516623,1915,1970,2006
5,train,250000.0,GasA,4,2Story,1,2,Lvl,Gtl,0.922471268,FR2,0.715059975,IR1,0,60,RL,350,BrkFace,none,0,12,NoRidge,3,4,VinylSd,VinylSd,0,3,1,PConc,7,1.68613695,2,3,Attchd,2000,1.377805969,2.5,5,1145,1053,0,,4,1Fam,TA,Av,655.0,0.0,GLQ,Unf,1,0,Gd,490.0,Y,Norm,Norm,SBrkr,0.97868426331,5,8,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,9,0.310524481299,AllPub,1.07825585475,2000,2000,2008
6,train,143000.0,GasA,4,1.5Fin,1,1,Lvl,Gtl,0.90243001,Inside,0.750319132,IR1,0,50,RL,0,None,Shed,700,10,Mitchel,3,3,VinylSd,VinylSd,3,0,0,Wood,7,0.033075108,1,3,Attchd,1993,-0.27420129,1.5,6,796,566,320,,1,1Fam,TA,No,732.0,0.0,GLQ,Unf,1,0,Gd,64.0,Y,Norm,Norm,SBrkr,0.471435816564,5,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,5,-0.283304588941,AllPub,0.256638083661,1993,1995,2009
7,train,307000.0,GasA,4,1Story,1,2,Lvl,Gtl,0.242997255,Inside,0.37741257,Reg,0,20,RL,186,Stone,none,0,8,Somerst,3,4,VinylSd,VinylSd,0,4,1,PConc,7,0.757450522,2,3,Attchd,2004,0.381859009,2.0,7,1694,0,0,,3,1Fam,TA,Av,1369.0,0.0,GLQ,Unf,1,0,Ex,317.0,Y,Norm,Norm,SBrkr,0.783458793806,5,8,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,7,1.01808573225,AllPub,1.25750285526,2004,2005,2007
8,train,200000.0,GasA,4,2Story,1,1,Lvl,Gtl,0.300106058,Corner,0.569696316,IR1,0,60,RL,240,Stone,Shed,350,11,NWAmes,3,3,HdBoard,HdBoard,0,3,2,CBlock,7,0.051648837,2,3,Attchd,1973,1.164388764,2.5,8,1107,983,0,,3,1Fam,TA,Mn,859.0,32.0,ALQ,BLQ,1,0,Gd,216.0,Y,PosN,Norm,SBrkr,1.4428068395,6,7,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,7,0.252622720609,AllPub,1.20484419385,1973,1973,2009
9,train,129900.0,GasA,3,1.5Fin,2,1,Lvl,Gtl,-0.736260691,Inside,-0.77161634,Reg,0,50,RM,0,None,none,0,4,OldTown,3,3,BrkFace,Wd Shng,0,3,2,BrkTil,6,-0.022646077,1,2,Detchd,1931,0.539945828,2.0,9,1022,752,0,,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0,0,TA,952.0,Y,Artery,Norm,FuseF,-1.07568666246,5,7,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,8,0.000903246542093,AllPub,0.647724752698,1931,1950,2008
10,train,118000.0,GasA,4,1.5Unf,2,1,Lvl,Gtl,-0.358554935,Corner,-0.830615574,Reg,0,190,RL,0,None,none,0,1,BrkSide,3,3,MetalSd,MetalSd,0,3,2,BrkTil,7,-1.24386873,2,4,Attchd,1939,-0.837385583,1.0,10,1077,0,0,,2,2fmCon,TA,No,851.0,0.0,GLQ,Unf,1,0,TA,140.0,Y,Artery,Artery,SBrkr,-0.3835779835,6,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,5,0.0667913409636,AllPub,-0.929191516623,1939,1950,2008
